bm25_k,vector_k,reranker_model,reranker_top_n,chunk_params,embedding_model,ensemble_weights,avg_bleu,reference_accuracy,avg_rouge1_recall,avg_rouge2_recall
3,3,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.5055,0.7284,0.8463,0.7201
5,5,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.5025,0.7654,0.8607,0.723
3,3,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.5024,0.7654,0.834,0.7046
5,5,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.501875,0.73455,0.844075,0.710875
3,5,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.5013,0.7284,0.8506,0.715
5,3,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.5007999999999999,0.7499750000000001,0.841925,0.709775
5,5,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4981,0.7499750000000001,0.852325,0.72115
5,3,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.495425,0.768525,0.845875,0.712275
5,3,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4948,0.768525,0.844,0.710975
3,3,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4937,0.7284,0.8566,0.7315
5,3,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.49345,0.7499750000000001,0.8408249999999999,0.7087
5,5,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.49295,0.73455,0.8399,0.704275
5,5,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4923,0.7407,0.8575,0.7154
5,3,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4916,0.7654,0.8538,0.7253
5,5,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.489975,0.7407,0.85355,0.7201
3,5,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4899,0.737625,0.85155,0.72125
3,5,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4899,0.7284,0.8408,0.7029
3,3,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4895,0.7284,0.8524,0.725
5,3,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.489375,0.7407,0.852525,0.7179
3,3,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4893,0.7037,0.8383,0.713
3,5,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4885,0.716,0.8451,0.7087
5,5,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.48835,0.7499750000000001,0.860625,0.72605
3,5,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4881,0.743825,0.8509249999999999,0.71905
5,3,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.48619999999999997,0.759225,0.8474,0.71565
5,3,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.486175,0.759225,0.84665,0.7135750000000001
3,5,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4859,0.716,0.8437,0.7099
3,5,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4853,0.743825,0.85835,0.7237
5,5,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.48505,0.7407,0.849975,0.7168749999999999
5,5,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4849,0.7716000000000001,0.8398,0.7013
